Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead
High Priestess (Oathbreaker),,,,"['Dosh Khaleen', 'Targaryen']",Khaleesi High Priestess,Dothraki,,,,Game of Thrones,6,2 episodes ( see below ),""" Oathbreaker """,""" Book of the Stranger """,,Souad Faress,{ Savo },Great Stallion,,,,,,,,0
High Septon (Joffrey),,299 AC in King's Landing Torn apart by smallfolk during the riots in King's Landing,,['Faith of the Seven'],High Septon,Andal,,,,Game of Thrones,1 · 2,3 episodes ( see below ),""" Baelor """,""" The Old Gods and the New ""","""The Old Gods and the New""",Unidentified (Season 1) David Verrey (Season 2),,Faith of the Seven,,,,,,,,1
High Septon (Robert%27s Rebellion),Maynard 233 AC,,,['Faith of the Seven'],High Septon,Andal,,,,Game of Thrones,7,""" The Dragon and the Wolf "" (vision(s))",,,,Tom Chadbon,,Faith of the Seven,,,,,,,,0
High Septon (Tommen),,,,['Faith of the Seven'],High Septon (stripped),Andal,,,,Game of Thrones,3 · 4 · 5,6 episodes ( see below ),""" Second Sons """,""" High Sparrow """,,Paul Bentley,,Faith of the Seven,,,,,,,,0
High Sparrow,,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,,['Sparrows Faith Militant'],High Septon His High Holiness,Andal,,,,Game of Thrones,5 · 6,12 episodes ( see below ),""" High Sparrow """,""" The Winds of Winter ""","""The Winds of Winter""",Jonathan Pryce,,Faith of the Seven,,,,,,,,1
Gerold Hightower,"The Hightower , the Reach","281 AC The Tower of Joy , Dorne",Hightower,"['Targaryen', 'Kingsguard']",Ser Lord Commander of the Kingsguard,Andal,,,,Game of Thrones,6,""" Oathbreaker "" (vision(s))",,,"""Oathbreaker"" (vision(s))",Eddie Eyre,,Faith of the Seven,,,,,,,,1
Donnel Hill,The Westerlands,301 AC Castle Black,,"[""Night's Watch""]",,Westermen,,,,Game of Thrones,4,""" The Watchers on the Wall """,,,"""The Watchers on the Wall""",Jack Roth,,Faith of the Seven,,,,,,,,1
Hobb,,,,"[""Night's Watch""]",,,,,,Game of Thrones,4,""" The Watchers on the Wall """,,,,Unidentified,,,,,,,,,,0
Hodor,Wylis,"303 AC Cave of the Three-Eyed Raven , beyond the Wall",,['Stark'],,Northern,,,,Game of Thrones,1 · 2 · 3 · 4 · 6,23 episodes ( see below ),""" Winter Is Coming """,""" The Door ""","""The Door""",Kristian Nairn Sam Coleman (adolescent),,,,,,,,,,1
Hog farmer,,,,['Unknown'],,Westerosi,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,Pat McGrath,,,,,,,,,,0
Dontos Hollard,Near Duskendale,301 AC on Blackwater Bay Shot by crossbowmen on the orders of Petyr Baelish,Hollard,['Baratheon'],Ser (stripped) Fool,Andal,,,,Game of Thrones,2 · 4,6 episodes ( see below ),""" The North Remembers """,""" Breaker of Chains ""","""Breaker of Chains""",Tony Way,,Faith of the Seven,,Dontos the Red,,,,,,1
Lord Hornwood,At the Hornwood,,Hornwood,['Stark'],Lord of the Hornwood,Northman,,,,Game of Thrones,6,""" The Winds of Winter """,,,,Unidentified,,Old Gods,,,,,,,,0
Hot Pie,In King's Landing,,,['Unknown'],,,,,,Game of Thrones,1 · 2 · 3 · 4 · 7,12 episodes ( see below ),""" Fire and Blood """,""" Stormborn """,,Ben Hawkey,,,,,,,,,,0
Areo Hotah,"Norvos , the Free Cities","303 AC The Water Gardens , Dorne",,['Martell'],Captain of the guard,Norvoshi,,,,Game of Thrones,5 · 6,6 episodes ( see below ),""" The House of Black and White """,""" The Red Woman ""","""The Red Woman""",DeObia Oparei,,,,,,,,,,1
Hugh of the Vale,The Vale of Arryn,"298 AC King's Landing , the Crownlands",,['Arryn'],Ser,Valemen,,,,Game of Thrones,1,2 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Wolf and the Lion "" (corpse)","""Cripples, Bastards, and Broken Things""",Jefferson Hall,,Faith of the Seven,,,,,,,,1
Adrack Humble,In the Iron Islands,301 AC at Moat Cailin Flayed alive by Ramsay Snow,,['Greyjoy'],,Ironborn,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,"""The Mountain and the Viper""",Jody Halse,,Drowned God,,,,,,,,1
Eon Hunter,At Longbow Hall,,Hunter,['Arryn'],Lord of Longbow Hall,Valemen,,,,Game of Thrones,1,""" A Golden Crown """,,,,Barrington Cullen,,Faith of the Seven,,,,,,,,0
Iggo,,303 AC in Vaes Dothrak Neck snapped by Daario Naharis,,['Green khal'],,Dothraki,,,,Game of Thrones,6,""" Book of the Stranger """,,,"""Book of the Stranger""",Deon Lee-Williams,,Great Stallion,,,,,,,,1
Ironborn captain,On the Iron Islands,,,['Greyjoy'],,Ironborn,,,,Game of Thrones,6,""" The Door """,,,,Darrell D'Silva,,Drowned God,,,,,,,,0
Irri,,299 AC in Qarth Strangled with a tassel by Doreah,,"['Drogo', 'Targaryen']",,Dothraki,,,,Game of Thrones,1 · 2,13 episodes ( see below ),""" The Kingsroad """,""" The Old Gods and the New ""","""The Old Gods and the New"" (deleted scene(s))",Amrita Acharia,,Great Stallion,,,,,,,,1
Izembaro,,,,['Unknown'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One """,,Richard E. Grant,,,,,,,,,,0
Jack,In the North,299 AC near Winterfell,,['Stark'],,Northern,{ Winterfell shepherd } (adoptive),,{ Billy } (adoptive),Game of Thrones,2,""" A Man Without Honor """,,,"""A Man Without Honor""",Unidentified,,Old Gods,,,,,,,,1
Jacks,In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Paul Caddell,,Old Gods,,,,,,,,0
Jhiqui,,,,['Drogo'],,Dothraki,,,,Game of Thrones,1,""" The Kingsroad """,,,,Sarita Piotrowski,,Great Stallion,,,,,,,,0
Joby,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Johnna,Beyond the Wall,,,['Ice-river clans'],,Free Folk,,{ Karsi },Willa,Game of Thrones,5,2 episodes ( see below ),""" Hardhome """,""" The Dance of Dragons """,,Ali Lyons,,Old Gods,,,,,,,,0
Joss (A Golden Crown),In the Riverlands,,,['Tully'],,Rivermen,,,,Game of Thrones,1,""" A Golden Crown """,,,,Niall Cusack,,Faith of the Seven,,,,,,,,0
"Joss (Unbowed, Unbent, Unbroken)",,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,""" Unbowed, Unbent, Unbroken """,,,,James McKenzie Robinson,,Many-Faced God,,,,,,,,0
Karsi,Beyond the Wall,"302 AC Hardhome , beyond the Wall",,"['Ice-river clans', 'Mance Rayder', 'White Walkers']",,Free Folk,,,,Game of Thrones,5 · 6,2 episodes ( see below ),""" Hardhome """,""" Blood of My Blood "" (vision(s))","""Hardhome""",Birgitte Hjort Sørensen,,Old Gods,,,,,,,,1
Alys Karstark,"288 AC Karhold , the North","305 AC (aged 17) Winterfell , the North",Karstark,['Stark'],Lady of Karhold,Northern,{ Harald Karstark },,,Game of Thrones,7 · 8,5 episodes ( see below ),""" Dragonstone """,""" The Long Night ""","""The Long Night""",Megan Parkinson,,Old Gods,,,,,,,,1
Harald Karstark,"Karhold , the North","303 AC Near Winterfell , the North",Karstark,['Bolton'],Castellan of Karhold (formerly) Lord of Karhold,Northern,{ Rickard Karstark },,{ Harrion Karstark } { Torrhen Karstark },Game of Thrones,6,3 episodes ( see below ),""" Home """,""" Battle of the Bastards """,,Paul Rattray,,Old Gods,,,,,,,,1
Rickard Karstark,"Karhold , the North","300 AC Riverrun , the Riverlands",Karstark,['Stark'],Lord of Karhold,Northern,,,,Game of Thrones,1 · 2 · 3,6 episodes ( see below ),""" Fire and Blood """,""" Kissed by Fire ""","""Kissed by Fire""",Steven Blount (Season 1) John Stahl (Seasons 2-3),,,,,,,,,,1
Torrhen Karstark,"Karhold , the North","299 AC Near Oxcross , the Westerlands",Karstark,['Stark'],,Northern,{ Rickard Karstark },,{ Harrion Karstark } { Harald Karstark },Game of Thrones,2,""" A Man Without Honor """,,,"""A Man Without Honor""",Tyrone McElhennon,,Old Gods,,,,,,,,1
Kayla,,,,['Petyr Baelish'],,,,,,Game of Thrones,3 · 4,2 episodes ( see below ),""" Walk of Punishment """,""" The Lion and the Rose """,,Pixie Le Knot,,,,,,,,,,0
Kegs,,301 AC in Mole's Town Killed by wildlings during the Sack of Mole's Town,,"[""Night's Watch""]",,,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,"""The Mountain and the Viper""",Tim Landers,,,,,,,,,,1
Ralf Kenning,On Harlaw,301 AC at Moat Cailin Axed in the head by Adrack Humble,Kenning,['Unknown'],,Ironborn,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,"""The Mountain and the Viper""",Grahame Fox,,Drowned God,,,,,,,,1
Kesh,,,,['Great Masters'],,Ghiscari ( Meereenese ),,,,Game of Thrones,6,""" Book of the Stranger """,,,,Michael Heath,,,,,,,,,,0
Osmund Kettleblack,,305 AC in King's Landing Killed by Sandor Clegane or crushed by debris during the Battle of King's Landing,,"['Kingsguard', 'Queensguard']",Ser,Andal,,,,Game of Thrones,5 · 7 · 8,2 episodes ( see below ),""" Sons of the Harpy """,""" The Bells ""","""The Bells""",Unidentified,,Faith of the Seven,,,,,,,,1
King%27s Landing baker,,,,['Unknown'],,,,,,Game of Thrones,1,""" Baelor """,,,,Edward Mercieca,,,,,,,,,,0
King%27s Landing boaster,,303 AC in King's Landing Head smashed against a wall by Gregor Clegane,,['Unknown'],,,,,,Game of Thrones,6,""" Home """,,,"""Home""",Dylan Edwards,,,,,,,,,,1
King%27s Landing rioter,,299 AC in King's Landing Disemboweled by Sandor Clegane,,['Unknown'],,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor "" (dream(s))","""The Old Gods and the New""",Reg Wayment,,,,,,,,,,1
Kinvara,,,,['Red Temple of Volantis'],High Priestess of the Red Temple of Volantis Flame of Truth Light of Wisdom First Servant of the Lord of Light,Volantene,,,,Game of Thrones,6,""" The Door """,,,,Ania Bukstein,,Lord of Light,,,,,,,,0
Koner,,,,['Stark'],,Northern,,,,Game of Thrones,7,""" The Spoils of War """,,,,Joseph Quinn,,,,,,,,,,0
Kovarro,,,,"['Drogo', 'Targaryen']",Bloodrider (to Drogo and Daenerys ),Dothraki,,,,Game of Thrones,2,7 episodes ( see below ),""" The North Remembers """,""" Valar Morghulis """,,Steven Cole,,Great Stallion,,,,,,,,0
Kullback,Beyond the Wall,,,['Mance Rayder'],,Free Folk,,,,Game of Thrones,4,""" The Children """,,,,Unidentified,,Old Gods,,,,,,,,0
Kurleket,"The Riverlands , Westeros","298 AC The Eastern Road , the Vale of Arryn",,['Bracken'],,Rivermen,,,,Game of Thrones,1,2 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Wolf and the Lion ""","""The Wolf and the Lion""",Kevin Keenan,,Faith of the Seven,,,,,,,,1
Lady,"298 AC The North , the Seven Kingdoms","298 AC (aged 0) The Inn at the Crossroads , the Riverlands",,['Unknown'],,,,,,Game of Thrones,1,2 episodes ( see below ),""" Winter Is Coming """,""" The Kingsroad ""","""The Kingsroad""",,,,,,,Direwolf,Sansa Stark,,{ Grey Wind } (brother) Nymeria (sister) { Summer } (brother) { Shaggydog } (brother) Ghost (brother),1
Lannister captain,,,,['Lannister'],Captain,Westermen,,,,Game of Thrones,6,""" Home """,,,,Richard Laing,,Faith of the Seven,,,,,,,,0
Lannister scout,The Westerlands,,,['Lannister'],,Westermen,,,,Game of Thrones,1,""" The Pointy End """,,,,Chris Gallagher,,Faith of the Seven,,,,,,,,0
Alton Lannister,"The Westerlands , Westeros","299 AC Near Oxcross , the Westerlands",Lannister,['Unknown'],Ser,Westermen,,Cynda Lannister,,Game of Thrones,2,3 episodes ( see below ),""" The North Remembers """,""" A Man Without Honor ""","""A Man Without Honor""",Karl Davies,,Faith of the Seven,,,,,,,,1
Cersei Lannister,"261 AC Casterly Rock , the Westerlands","305 AC (aged 44) Red Keep , King's Landing",Lannister Baratheon of King's Landing (by marriage),['Small Council'],Queen Mother (formerly) Queen Regent (formerly) Lady of Casterly Rock Wardeness of the West Queen of the Andals and the First Men Protector of the Seven Kingdoms,Westermen,{ Tywin Lannister },{ Joanna Lannister },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,62 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne "" (corpse)",""" The Bells """,Lena Headey Nell Williams (adolescent),{ Robert I Baratheon },Faith of the Seven,With Robert: { Son } With Jaime: { Joffrey I Baratheon } { Myrcella Baratheon } { Tommen I Baratheon },Cersei Baratheon,,,,{ Jaime Lannister } { Lancel Lannister } { Euron Greyjoy },,1
Jaime Lannister,"261 AC Casterly Rock , the Westerlands","305 AC (aged 44) Red Keep , King's Landing",Lannister,"['Kingsguard', 'Small Council']",Ser Lord Commander of the Kingsguard (formerly),Westermen,{ Tywin Lannister },{ Joanna Lannister },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,55 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne "" (corpse)",""" The Bells """,Nikolaj Coster-Waldau,,Faith of the Seven,{ Joffrey I Baratheon } { Myrcella Baratheon } { Tommen I Baratheon },Kingslayer,,,,{ Cersei Lannister } Brienne of Tarth,,1
Kevan Lannister,Casterly Rock,303 AC King's Landing,Lannister,['Baratheon'],Ser Hand of the King (to Tommen I ) Protector of the Realm (for Tommen I),Westermen,{ Tytos Lannister },{ Jeyne Marbrand },{ Tywin Lannister } Gerion Lannister Genna Lannister { Tygett Lannister },Game of Thrones,1 · 2 · 5 · 6,12 episodes ( see below ),""" The Pointy End """,""" The Winds of Winter ""","""The Winds of Winter""",Ian Gelder,Dorna Swyft,Faith of the Seven,{ Lancel Lannister } { Martyn Lannister } Janei Lannister { Willem Lannister },,,,,,,1
Lancel Lannister,Casterly Rock,303 AC King's Landing,Lannister (renounced),['Sparrows Faith Militant'],Ser (formerly),Westermen,{ Kevan Lannister },Dorna Swyft,{ Martyn Lannister } Janei Lannister { Willem Lannister },Game of Thrones,1 · 2 · 5 · 6,16 episodes ( see below ),""" Lord Snow """,""" The Winds of Winter ""","""The Winds of Winter""",Eugene Simon,,Faith of the Seven,,Brother Lancel,,,,{ Cersei Lannister } (formerly),,1
Martyn Lannister,285 AC Casterly Rock,300 AC (aged 15) Riverrun,Lannister,['Unknown'],,Westermen,{ Kevan Lannister },Dorna Swyft,{ Lancel Lannister } Janei Lannister { Willem Lannister },Game of Thrones,3,2 episodes ( see below ),""" Walk of Punishment """,""" Kissed by Fire ""","""Kissed by Fire""",Dean-Charles Chapman,,Faith of the Seven,,,,,,,,1
Reginald Lannister,,,Lannister,['Unknown'],,Westermen,,,,Game of Thrones,2,""" The Ghost of Harrenhal """,,,,Patrick Fitzsymons,Wife,Faith of the Seven,,,,,,,,0
Tyrion Lannister,"265 AC (age 40) Casterly Rock , the Westerlands",,Lannister,"['Baratheon', 'Small Council', 'Targaryen']",Acting Hand of the King (formerly) Master of Coin (formerly) Hand of the Queen (formerly) Hand of the King Lord of Casterly Rock Warden of the West,Westermen,{ Tywin Lannister },{ Joanna Lannister },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,67 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Peter Dinklage,"Tysha (1st wife, annulled) Sansa Stark (2nd wife, unconsummated)",Faith of the Seven,,The Imp Halfman The Little Lion Dwarf of Casterly Rock,,,,{ Shae },,0
Tywin Lannister,"234 AC Casterly Rock , the Westerlands","301 AC (aged 67) Tower of the Hand , King's Landing",Lannister,"['Targaryen', 'Baratheon', 'Small Council']",Ser Lord of Casterly Rock Warden of the West Hand of the King Savior of the City Protector of the Realm,Westermen,{ Tytos Lannister },{ Jeyne Marbrand },,Game of Thrones,1 · 2 · 3 · 4 · 5,27 episodes ( see below ),""" You Win or You Die """,""" The Wars To Come "" (corpse)",""" The Children """,Charles Dance,{ Joanna Lannister },Faith of the Seven,{ Cersei Lannister } { Jaime Lannister } Tyrion Lannister,,,,,{ Shae },,1
Willem Lannister,286 AC Casterly Rock,300 AC (aged 14) Riverrun,Lannister,['Unknown'],,Westermen,{ Kevan Lannister },Dorna Swyft,{ Lancel Lannister } { Martyn Lannister } Janei Lannister,Game of Thrones,3,2 episodes ( see below ),""" Walk of Punishment """,""" Kissed by Fire ""","""Kissed by Fire""",Timothy Gibbons,,Faith of the Seven,,,,,,,,1
Last dragon,,,,['Unknown'],,,,,,Game of Thrones,7,""" Stormborn "" (corpse)",,,,,,,,,,Dragon,House Targaryen,,,0
Lead Dornish guard,In Dorne,302 AC in Dorne Stabbed in the throat with a knife by Bronn,,['Martell'],,Dornish,,,,Game of Thrones,5,""" Sons of the Harpy """,,,"""Sons of the Harpy""",Christian Vit,,Faith of the Seven,,,,,,,,1
Lead Kingsguard,,,,['Kingsguard'],Ser,,,,,Game of Thrones,5,""" Sons of the Harpy """,,,,Paddy Wallace,,,,,,,,,,0
Leadranach,In the North,,,['Stark'],Lord,Northern,,,,Game of Thrones,2,""" The North Remembers """,,,,Pat Mooney,,Old Gods,,,,,,,,0
Leaf,Prior to 11200 BC,"303 AC (aged >11,500) in the cave of the Three-Eyed Raven Sacrificed self after being repeatedly stabbed by wights",,['Unknown'],,Children of the Forest,,,,Game of Thrones Bloodmoon (rejected),Game of Thrones : 4 · 6,5 episodes ( see below ),""" The Children """,""" Blood of My Blood "" (vision(s))",""" The Door """,Octavia Alexandru (Season 4) Kae Alexander (Season 6) Doyin Ajiboye ( Bloodmoon ),,Old Gods,,,,,,,,1
Leo Lefford,Golden Tooth,,Lefford,['Lannister'],,Westermen,,,,Game of Thrones,1,2 episodes ( see below ),""" Baelor """,""" Fire and Blood """,,Vinnie McCabe,,Faith of the Seven,,,,,,,,0
Lem,,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Broken Man """,""" No One ""","""No One""",Jóhannes Haukur Jóhannesson,,Lord of Light,,Lem Lemoncloak,,,,,,1
Lhara,In Braavos,,,['Unknown'],,Braavosi,,,,Game of Thrones,4 · 5,3 episodes ( see below ),""" The Laws of Gods and Men """,""" The Dance of Dragons """,,Sarine Sofair,,,,,,,,,,0
Duncan Liddle,In the Northern mountains,,,"[""Night's Watch""]",,Northern,,,,Game of Thrones,5,""" Hardhome """,,,,Unidentified,,Old Gods,,,,,,,,0
Little bird (The Mountain and the Viper),In Meereen,,,['Varys'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" The Mountain and the Viper """,,,,Samuel Paul Small,,,,,,,,,,0
Little bird (You Win or You Die),,,,['Varys'],,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Tristan Mercieca,,,,,,,,,,0
Loboda,"Thenn , beyond the Wall","302 AC Hardhome , beyond the Wall",,"['Mance Rayder', 'White Walkers']",,Thenn,,,,Game of Thrones,5,""" Hardhome """,,,"""Hardhome""",Zahary Baharov,,Old Gods,,,,,,,,1
Locke,"The North , the Seven Kingdoms","301 AC Craster's Keep , beyond the Wall",,"['Bolton', ""Night's Watch""]",Castellan of Harrenhal (formerly),Northern,,,,Game of Thrones,3 · 4,8 episodes ( see below ),""" Dark Wings, Dark Words """,""" First of His Name ""","""First of His Name""",Noah Taylor,,Old Gods,,,,,,,,1
Lommy,In King's Landing,299 AC near Harrenhal Stabbed in the throat with Needle by Polliver during the fight at the holdfast,,"[""Night's Watch""]",,Andal,,,,Game of Thrones,1 · 2,4 episodes ( see below ),""" Fire and Blood """,""" What Is Dead May Never Die ""","""What Is Dead May Never Die""",Eros Vlahos,,Faith of the Seven,,Lommy Greenhands,,,,,,1
Hizdahr zo Loraq%27s manservant,In Meereen,,,['Loraq'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,2 episodes ( see below ),""" Breaker of Chains """,""" The Laws of Gods and Men """,,Conor Watters,,Ghiscari religion,,,,,,,,0
Hizdahr zo Loraq,In Meereen,302 AC in the Great Pit of Daznak Stabbed repeatedly in the chest by Sons of the Harpy during the shadow war,Loraq,"['Great Masters', 'Targaryen']",,Ghiscari ( Meereenese ),,,,Game of Thrones,4 · 5,8 episodes ( see below ),""" Breaker of Chains """,""" The Dance of Dragons ""","""The Dance of Dragons""",Joel Fry,,Ghiscari religion,,,,,,,,1
Amory Lorch,The Westerlands,299 AC Harrenhal,Lorch,['Lannister'],Ser,Westermen,,,,Game of Thrones,2,4 episodes ( see below ),""" What Is Dead May Never Die """,""" The Old Gods and the New ""","""The Old Gods and the New""",Fintan McKeown,,Faith of the Seven,,,,,,,,1
Lord of Bones,Beyond the Wall,302 AC at Hardhome Beaten to death with his own staff by Tormund,,"['Mance Rayder', 'White Walkers']",,Free Folk,,,,Game of Thrones,2 · 3 · 5,4 episodes ( see below ),""" The Prince of Winterfell """,""" Hardhome ""","""Hardhome""",Edward Dogliani (Seasons 2-3) Ross O'Hennessy (Season 5),,Old Gods,,Rattleshirt,,,,,,1
Lordsport dockhand,At Lordsport,,,['Botley'],,Ironborn,,,,Game of Thrones,2,""" The Night Lands """,,,,Jer O'Leary,,Drowned God,,,,,,,,0
Lowell,,301 AC Near the Mountains of the Moon,,['Lannister'],,Westerosi,,,,Game of Thrones,4,""" Two Swords """,,,"""Two Swords""",Unidentified,,,,,,,,,,1
Loyal Night%27s Watch man 1,,,,"[""Night's Watch""]",,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Red Woman """,""" Home """,,Steve Cash,,,,,,,,,,0
Loyal Night%27s Watch man 2,,,,"[""Night's Watch""]",,,,,,Game of Thrones,6,3 episodes ( see below ),""" The Red Woman """,""" Book of the Stranger """,,Robert Fawsitt,,,,,,,,,,0
Luke,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Luwin,,"299 AC Winterfell , the North",,"['Order of Maesters', 'Stark', 'Greyjoy']",Maester,,,,,Game of Thrones,1 · 2,14 episodes ( see below ),""" Winter Is Coming """,""" Valar Morghulis ""","""Valar Morghulis""",Donald Sumpter,,,,,,,,,,1
Lynderly knight,At Snakewood,,,['Arryn'],Ser,Valemen,,,,Game of Thrones,1,""" A Golden Crown """,,,,Patrick Rocks,,Faith of the Seven,,,,,,,,0
Maggy,,Near Horn Hill,,['Unknown'],,,,,,Game of Thrones,5,""" The Wars To Come "" (flashback(s))",,,,Jodhi May,,,,Maggy the Frog,,,,,,1
Mago,,"298 AC Lhazar , Essos",,['Drogo'],,Dothraki,,,,Game of Thrones,1,2 episodes ( see below ),""" Winter Is Coming """,""" The Pointy End ""","""The Pointy End""",Ivailo Dimitrov,,Great Stallion,,,,,,,,1
Malakho,,,,"['Drogo', 'Targaryen']",,Dothraki,,,,Game of Thrones,2,6 episodes ( see below ),""" The North Remembers """,""" Valar Morghulis """,,Robert Boroje,,Great Stallion,,,,,,,,0
Malko,,,,['Unknown'],,,,,,Game of Thrones,5,2 episodes ( see below ),""" Unbowed, Unbent, Unbroken """,""" The Gift """,,Adewale Akinnuoye-Agbaje,,,,,,,,,,0
Mallister supporter,,,,"[""Night's Watch""]",,,,,,Game of Thrones,5,""" The House of Black and White """,,,,Derek Lord,,,,,,,,,,0
Denys Mallister,At Seagard,,Mallister,"[""Night's Watch""]",Ser Commander of the Shadow Tower,Rivermen,,,,Game of Thrones,5,""" The House of Black and White """,,,,J.J. Murphy,,Faith of the Seven,,,,,,,,0
Jaremy Mallister,"Seagard , the Riverlands","300 AC Harrenhal , the Riverlands",Mallister,['Tully'],Ser,Rivermen,,,,Game of Thrones,3,""" Valar Dohaeris "" (corpse)",,,,Unidentified,,Faith of the Seven,,,,,,,,1
Malugo,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Wendel Manderly,"White Harbor , the North","300 AC The Twins , the Riverlands",Manderly,['Unknown'],Ser,Andal,Wyman Manderly,,,Game of Thrones,3,""" The Rains of Castamere """,,,"""The Rains of Castamere""",Oddie Braddell,,Faith of the Seven,,,,,,,,1
Wyman Manderly,White Harbor,,Manderly,['Stark'],,Northern,,,,Game of Thrones,6,""" The Winds of Winter """,,,,Sean Blowers,,Faith of the Seven,,,,,,,,0
Addam Marbrand,Ashemark,,Marbrand,['Lannister'],Ser,Westermen,Damon Marbrand,,,Game of Thrones,1,""" Fire and Blood """,,,,B.J. Hogg,,Faith of the Seven,,,,,,,,0
Marei,,,,['Petyr Baelish'],,,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 8,8 episodes ( see below ),""" The North Remembers """,""" Winterfell """,,Josephine Gillan,,,,,,,,,,0
Marillion,,,,['Unknown'],,,,,,Game of Thrones,1,4 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" Fire and Blood """,,Emun Elliott,,,,,,,,,,0
Bowen Marsh,In the Neck,303 AC at Castle Black Hanged by Jon Snow for treason,Marsh,"[""Night's Watch""]",First Steward,Crannogman,,,,Game of Thrones,5 · 6,10 episodes ( see below ),""" The Wars To Come """,""" Oathbreaker ""","""Oathbreaker""",Michael Condron,,Old Gods,,,,,,,,1
Doran Martell,"Sunspear , Dorne","303 AC The Water Gardens , Dorne",Martell,"['Targaryen', 'Baratheon']",Prince of Dorne,Dornish,,,{ Oberyn Martell } { Elia Martell },Game of Thrones,5 · 6,5 episodes ( see below ),""" The House of Black and White """,""" The Red Woman ""","""The Red Woman""",Alexander Siddig,,Faith of the Seven,{ Trystane Martell },,,,,,,1
Oberyn Martell,,"301 AC Red Keep , King's Landing",Martell,"['Yronwood', 'Order of Maesters', 'Second Sons', 'Baratheon', 'Small Council']",Prince,Dornish,,,{ Doran Martell } { Elia Martell },Game of Thrones,4,7 episodes ( see below ),""" Two Swords """,""" The Mountain and the Viper ""","""The Mountain and the Viper""",Pedro Pascal,,,{ Obara Sand } { Nymeria Sand } { Tyene Sand } Sarella Sand Elia Sand Obella Sand Dorea Sand Loreza Sand,The Red Viper of Dorne,,,,{ Ellaria Sand } ( paramour ),,1
Trystane Martell,"Sunspear , Dorne","303 AC Blackwater Bay , the Crownlands",Martell,['Unknown'],Prince,Dornish,{ Doran Martell },,,Game of Thrones,5 · 6,5 episodes ( see below ),""" The House of Black and White """,""" The Red Woman ""","""The Red Woman""",Toby Sebastian,,Faith of the Seven,,,,,,,,1
Martha,At Winterfell,,,"['Stark', 'Targaryen', 'Varys']",,Northern,,,,Game of Thrones,8,2 episodes ( see below ),""" The Long Night """,""" The Bells """,,Bronte Carmichael,,Old Gods,,,,,,,,0
Master torturer,"The North , the Seven Kingdoms","300 AC The North, the Seven Kingdoms",,['Bolton'],,Northern,,,,Game of Thrones,3,2 episodes ( see below ),""" Dark Wings, Dark Words """,""" Walk of Punishment ""","""Walk of Punishment""",Michael Shelford,,Old Gods,,,,,,,,1
Matthar,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Lord Mazin,In the North,,Mazin,['Stark'],Lord,Northman,,,,Game of Thrones,6,""" Battle of the Bastards """,,,,,,Old Gods,,,,,,,,0
Meake,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
