Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead,mapped
Night%27s Watch man (The Red Woman),,,,"[""Night's Watch""]",,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Red Woman """,""" Home """,,Michael Hayes,,,,,,,,,,0,night's watch
Nymeria (direwolf),298 AC (age 7) in the North,,,['Unknown'],,,,,,Game of Thrones,1 · 7,3 episodes ( see below ),""" Winter Is Coming """,""" Stormborn """,,,,,,,,Direwolf,Arya Stark (formerly) Her Riverlands wolf pack,,{ Grey Wind } (brother) { Lady } (sister) { Summer } (brother) { Shaggydog } (brother) Ghost (brother),0,nymeria
Old man,,300 AC at Queenscrown Shot in the heart with an arrow by Ygritte,,['Unknown'],,Northern,,,,Game of Thrones,3,""" The Rains of Castamere """,,,"""The Rains of Castamere""",Sean Buckley,,Old Gods,,,,,,,,1,old man
Olly,In the Gift,303 AC at Castle Black Hanged by Jon Snow for treason,,"[""Night's Watch""]",,Northern,{ Guymon },{ Mother },,Game of Thrones,4 · 5 · 6,17 episodes ( see below ),""" Breaker of Chains """,""" Oathbreaker ""","""Oathbreaker""",Brenock O'Connor,,Old Gods,,,,,,,,1,olly
Olly%27s mother,,301 AC in the Gift Axed by Styr,,['Unknown'],,Northern,,,,Game of Thrones,4,""" Breaker of Chains """,,,"""Breaker of Chains""",Raewyn Lippert,{ Guymon },Old Gods,,,,,,,,1,olly's mother
Olyvar,,,,['Petyr Baelish'],,,,,,Game of Thrones,3 · 4 · 5,7 episodes ( see below ),""" Kissed by Fire """,""" Unbowed, Unbent, Unbroken """,,Will Tudor,,,,,,,,{ Loras Tyrell },,0,olyvar
Orell,Beyond the Wall,"300 AC Queenscrown , the North",,['Mance Rayder'],,Free Folk,,,,Game of Thrones,3,6 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Rains of Castamere ""","""The Rains of Castamere""",Mackenzie Crook,,Old Gods,,,,,,,,1,orell
Osha,Beyond the Wall,303 AC at Winterfell Stabbed in the neck by Ramsay Bolton,,['Stark'],,Free Folk,,,,Game of Thrones,1 · 2 · 3 · 6,16 episodes ( see below ),""" A Golden Crown """,""" Book of the Stranger ""","""Book of the Stranger""",Natalia Tena,{ Bruni },Old Gods,,,,,,,,1,osha
Belicho Paenymion,In Volantis,303 AC in Meereen Throat slit by Grey Worm,Paenymion,['Old Blood'],,Volantene,,,,Game of Thrones,6,2 episodes ( see below ),""" Book of the Stranger """,""" Battle of the Bastards ""","""Battle of the Bastards""",Eddie Jackson,,,,,,,,,,1,belicho
Podrick Payne,The Westerlands,,Payne,"['Lannister', 'Kingsguard']",Ser,Westermen,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,35 episodes ( see below ),""" The Night Lands """,""" The Iron Throne """,,Daniel Portman,,Faith of the Seven,,Pod,,,,,,0,podrick
Polliver,The Westerlands,301 AC Near the Mountains of the Moon,,"['Lorch', 'Lannister']",,Westermen,,,,Game of Thrones,2 · 4,3 episodes ( see below ),""" What Is Dead May Never Die """,""" Two Swords ""","""Two Swords""",Andy Kellegher,,,,,,,,,,1,polliver
Portan,In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,""" The North Remembers """,,,,Gordon Fulton,,Old Gods,,,,,,,,0,portan
Pyat Pree,In Qarth,"299 AC in the House of the Undying Burned alive by Drogon , Rhaegal , and Viserion on the command of Daenerys Targaryen",,"['Warlocks', 'Thirteen']",,Qartheen,,,,Game of Thrones,2,5 episodes ( see below ),""" Garden of Bones """,""" Valar Morghulis ""","""Valar Morghulis""",Ian Hanmore,,,,,,,,,,1,pyat pree
Protestor,,,,['Unknown'],,,,,,Game of Thrones,2,""" The Ghost of Harrenhal """,,,,Edward Tudor-Pole,,,,,,,,,,0,protester
Pycelle,231 AC,303 AC (aged 72) in King's Landing Stabbed repeatedly by Qyburn 's little birds,,"['Order of Maesters', 'Targaryen', 'Lannister', 'Baratheon']",Grand Maester,Andal,,,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6,31 episodes ( see below ),""" Lord Snow """,""" The Winds of Winter ""","""The Winds of Winter""",Julian Glover,,Faith of the Seven,,,,,,,,1,pycelle
Pypar,The Riverlands,"301 AC Castle Black , the Wall",,"['Smallwood', ""Night's Watch""]",,Rivermen,,,,Game of Thrones,1 · 3 · 4,13 episodes ( see below ),""" Lord Snow """,""" The Children "" (corpse)",""" The Watchers on the Wall """,Josef Altin,,,,Pyp,,,,,,1,pypar
Yezzan zo Qaggaz,In Yunkai,,,"['Wise Masters', 'Good Masters']",Master,Ghiscari ( Yunkai'i ),,,,Game of Thrones,5 · 6,4 episodes ( see below ),""" The Gift """,""" Battle of the Bastards """,,Enzo Cilenti,,Ghiscari religion,,,,,,,,0,yezzan
Qhorin,,"299 AC The Skirling Pass , beyond the Wall",,"[""Night's Watch""]",,,,,,Game of Thrones,2,4 episodes ( see below ),""" The Ghost of Harrenhal """,""" Valar Morghulis ""","""Valar Morghulis""",Simon Armstrong,,,,Qhorin Halfhand The Halfhand Lord Qhorin,,,,,,1,qhorin
Qotho,,298 AC in Lhazar Slashed across the face by Jorah Mormont,,['Drogo'],Bloodrider,Dothraki,,,,Game of Thrones,1,6 episodes ( see below ),""" Winter Is Coming """,""" Baelor ""","""Baelor""",Dar Salim,,Great Stallion,,,,,,,,1,qotho
Quaithe,In Asshai,,,['Unknown'],,Asshai 'i,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" A Man Without Honor """,,Laura Pradelska,,,,Quaithe of the Shadow,,,,,,0,quaithe
Quent,,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Aidan Crowe,,,,,,,,,,0,quent
Qyburn,,305 AC in King's Landing Skull cracked open by Gregor Clegane during the Battle of King's Landing,,"['Order of Maesters', 'Bolton', 'Baratheon', 'Lannister']",Maester (revoked) Master of Whisperers (to Tommen I and Cersei I ) Hand of the Queen (to Cersei I),,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,22 episodes ( see below ),""" Valar Dohaeris """,""" The Bells ""","""The Bells""",Anton Lesser,,,,,,,,,,1,qyburn
Rakharo,,299 AC Killed by a rival khalasar,,"['Drogo', 'Targaryen']",Bloodrider,Dothraki,,,,Game of Thrones,1 · 2,8 episodes ( see below ),""" Lord Snow """,""" The Night Lands "" (corpse)",,Elyes Gabel,,Great Stallion,,,,,,,,1,rakharo
Rast,,301 AC near Craster's Keep Savaged by Ghost,,"[""Night's Watch"", 'Mutineers']",,,,,,Game of Thrones,1 · 3 · 4,12 episodes ( see below ),""" The Kingsroad """,""" First of His Name ""","""First of His Name""",Luke Barnes,,,,,,,,,,1,rast
Ray,,"303 AC The Riverlands , Westeros",,['Faith of the Seven'],Brother Septon,Rivermen,,,{ Willam } { Owen },Game of Thrones,6,""" The Broken Man """,,,"""The Broken Man""",Ian McShane,,Faith of the Seven,,,,,,,,1,ray
Mance Rayder,Beyond the Wall,302 AC at Castle Black Shot with an arrow by Jon Snow whilst being burned alive by Melisandre,,"[""Night's Watch""]",King-Beyond-the-Wall,Free Folk,,,,Game of Thrones,3 · 4 · 5,5 episodes ( see below ),""" Valar Dohaeris """,""" The Wars To Come ""","""The Wars To Come""",Ciarán Hinds,,Old Gods,,,,,,,,1,mance
Red priestess (High Sparrow),,,,['Red Temple of Volantis'],,Volantene,,,,Game of Thrones,5,""" High Sparrow """,,,,Rila Fukushima,,Lord of Light,,,,,,,,0,red priestess
Red priestess (No One),,,,['Red Temple of Volantis'],,,,,,Game of Thrones,6,""" No One """,,,,Melanie Liburd,,Lord of Light,,,,,,,,0,red priestess
Jojen Reed,At Greywater Watch,301 AC near the cave of the Three-Eyed Raven Stabbed repeatedly by a wight and euthanized by Meera Reed,Reed,['Stark'],,Crannogman,Howland Reed,,Meera Reed,Game of Thrones,3 · 4,10 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Children ""","""The Children""",Thomas Brodie-Sangster,,Old Gods,,,,,,,,1,jojen
Meera Reed,At Greywater Watch,,Reed,['Stark'],,Crannogman,Howland Reed,,{ Jojen Reed },Game of Thrones,3 · 4 · 6 · 7,16 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Spoils of War """,,Ellie Kendrick,,Old Gods,,,,,,,,0,meera
Rennick,The Westerlands,299 AC Oxcross,,['Lannister'],,Westermen,,,,Game of Thrones,2,""" Garden of Bones """,,,"""Garden of Bones""",David Fynn,,Faith of the Seven,,,,,,,,1,rennick
Ryger Rivers,"The Riverlands , Westeros","303 AC The Twins , the Riverlands",,['Frey'],,Rivermen,{ Walder Frey },Milkmaid,Paternal half-siblings: { Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey { Walder Rivers },Game of Thrones,1,""" Baelor """,,,,Bryan McCaugherty,,Faith of the Seven,,,,,,,,1,ryger rivers
Rorge,,"301 AC Near the Mountains of the Moon , the Vale of Arryn",,"[""Night's Watch"", 'Lannister']",,,,,,Game of Thrones,1 · 2 · 4,5 episodes ( see below ),""" Fire and Blood """,""" Mockingbird ""","""Mockingbird""",Unidentified (Season 1) Andy Beckwith (Seasons 2-4),,,,,,,,,,1,rorge
Ros,"The winter town , the North","300 AC King's Landing , the Crownlands",,"['Petyr Baelish', 'Varys']",,Northern,,,,Game of Thrones,1 · 2 · 3,14 episodes ( see below ),""" Winter Is Coming """,""" The Climb ""","""The Climb""",Esmé Bianco,,,,,,,,,,1,ros
Waymar Royce,"Runestone , the Vale of Arryn","298 AC The Haunted Forest , beyond the Wall",Royce,"[""Night's Watch""]",Ser,Valemen,Yohn Royce,,{ Robar Royce },Game of Thrones,1,""" Winter Is Coming """,,,"""Winter Is Coming""",Rob Ostlere Jamie Campbell Bower ( pilot ),,Faith of the Seven,,,,,,,,1,waymar royce
Yohn Royce,At Runestone,,Royce,"['Arryn', 'Stark']",Lord of Runestone,Valemen,{ Andar Royce },Elena Egen,,Game of Thrones,4 · 5 · 6 · 7 · 8,13 episodes ( see below ),""" The Mountain and the Viper """,""" The Iron Throne """,,Rupert Vansittart,,Faith of the Seven,{ Robar Royce } { Waymar Royce },Bronze Yohn,,,,,,0,yohn royce
Jaremy Rykker,In Duskendale,,,"[""Night's Watch""]",Ser Acting First Ranger (in place of Benjen Stark ),Crownlander,,,,Game of Thrones,1,""" You Win or You Die """,,,,Jeffrey O'Brien,,Faith of the Seven,,,,,,,,0,jaremy rykker
Salladhor Saan,At Lys,,,['Baratheon'],,Summer Islander /Lysene,,,,Game of Thrones,2 · 3 · 4,3 episodes ( see below ),""" The Night Lands """,""" The Laws of Gods and Men """,,Lucian Msamati,At least 4 wives,,,,,,,,,0,salladhor
Sam,300 AC (age 5) at Craster's Keep,,,['Unknown'],,Free Folk,{ Craster } (biological) Samwell Tarly (adoptive),Gilly,Morag Sissy Gilly { Craster's last son } 100 brothers and even more sisters,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,20 episodes ( see below ),""" Walk of Punishment """,""" The Long Night """,,Arya Hasson (Season 3) Unidentified (Seasons 3-5) William and James Wilson (Seasons 6-7) Finn and Logan Watson (Season 8),,,,Little Sam,,,,,,0,sam
Ellaria Sand,At Hellholt,304 - 305 AC in King's Landing,,"['Uller', 'Martell', 'Targaryen']",,Dornish,,,,Game of Thrones,4 · 5 · 6 · 7,13 episodes ( see below ),""" Two Swords """,""" The Queen's Justice """,,Indira Varma,,Faith of the Seven,{ Tyene Sand } 3 other daughters,,,,,{ Oberyn Martell } ( paramour ),,1,ellaria
Obara Sand,"Oldtown , the Reach","304 AC The Black Wind , Blackwater Bay",,['Martell'],,Dornish,{ Oberyn Martell },{ Lowborn Reachwoman },Paternal half-sisters: { Nymeria Sand } { Tyene Sand } Sarella Sand Elia Sand Obella Sand Dorea Sand Loreza Sand,Game of Thrones,5 · 6 · 7,8 episodes ( see below ),""" Sons of the Harpy """,""" Stormborn ""","""Stormborn""",Keisha Castle-Hughes,,Faith of the Seven,,Sand Snake,,,,,,1,obara
Tyene Sand,,"304 AC King's Landing , the Crownlands",,['Martell'],,Dornish,{ Oberyn Martell },{ Ellaria Sand },Paternal half-sisters and biological sisters: { Obara Sand } { Nymeria Sand } Sarella Sand Elia Sand Obella Sand Dorea Sand Loreza Sand,Game of Thrones,5 · 6 · 7,9 episodes ( see below ),""" Sons of the Harpy """,""" The Queen's Justice ""","""The Queen's Justice""",Rosabell Laurenti Sellers,,Faith of the Seven,,Sand Snake,,,,,,1,tyene
Sarra,In the North,,,['Stark'],,Northern,,,,Game of Thrones,8,""" The Last of the Starks """,,,,Danielle Galligan,,Old Gods,,,,,,,,0,sarra
Davos Seaworth,"Davos of Flea Bottom Flea Bottom , King's Landing",,Seaworth,"['Baratheon', 'Stark', 'Small Council']","Ser Hand of the King (formerly, to Stannis I ) Lord Master of Ships",Crownlander,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,42 episodes ( see below ),""" The North Remembers """,""" The Iron Throne """,,Liam Cunningham,Marya Seaworth,,{ Matthos Seaworth },The Onion Knight,,,,,,0,davos
Matthos Seaworth,In the Stormlands,"299 AC off the coast of King's Landing Killed by a wildfire explosion caused by Bronn , on the orders of Tyrion Lannister , during the Battle of the Blackwater",Seaworth,['Baratheon'],,Andal,Davos Seaworth,Marya Seaworth,,Game of Thrones,2,4 episodes ( see below ),""" The North Remembers """,""" Blackwater ""","""Blackwater""",Kerr Logan,,Lord of Light,,,,,,,,1,matthos
Barristan Selmy,"Harvest Hall , the Stormlands",302 AC Meereen,Selmy,"['Kingsguard', 'Targaryen', 'Queensguard']",Ser Lord Commander of the Kingsguard (formerly),Marcher,{ Lyonel Selmy },,,Game of Thrones,1 · 3 · 4 · 5,25 episodes ( see below ),""" Lord Snow """,""" Kill the Boy "" (corpse)",""" Sons of the Harpy """,Ian McElhinney,,,,Barristan the Bold Barristan the Old,,,,,,1,barristan selmy
Septon (The Rains of Castamere),,,,"['Faith of the Seven', 'Frey']",Septon,Andal,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,Kenneth Hadley,,Faith of the Seven,,,,,,,,0,septon
Septon (Valar Morghulis),,,,['Faith of the Seven'],Septon,Westerosi,,,,Game of Thrones,2,""" Valar Morghulis """,,,,Terry Byrne,,Faith of the Seven,,,,,,,,0,septon
Shae,Lorath,"301 AC Tower of the Hand , King's Landing",,['Lannister'],,Lorathi,,,,Game of Thrones,1 · 2 · 3 · 4,20 episodes ( see below ),""" Baelor """,""" The Children ""","""The Children""",Sibel Kekilli,,,,,,,,Tyrion Lannister { Tywin Lannister },,1,shae
Shagga,In the Mountains of the Moon,,,['Stone Crows'],Chieftain of the Stone Crows,Hill tribes,Dolf,,,Game of Thrones,1,2 episodes ( see below ),""" The Pointy End """,""" Baelor """,,Mark Lewis Jones,,,,,,,,,,0,shagga
Silk King,In Qarth,299 AC in Qarth Throat slit by a duplicate of Pyat Pree,,['Thirteen'],,Qartheen,,,,Game of Thrones,2,3 episodes ( see below ),""" Garden of Bones """,""" A Man Without Honor ""","""A Man Without Honor""",Slavko Juraga,,,,,,,,,,1,silk king
Sissy,At Craster's Keep,,,['Unknown'],,Free Folk,{ Craster },,Morag Gilly Sam { Craster's last son } 101 brothers and even more sisters,Game of Thrones,4,2 episodes ( see below ),""" Oathkeeper """,""" First of His Name """,,Jane McGrath,{Craster},White Walkers,,,,,,,,0,sissy
Slave (Breaker of Chains),,,,['Great Masters'],,,,,,Game of Thrones,4,""" Breaker of Chains """,,,,Joshua Sher,,,,,,,,,,0,slaves
Slaver,,,,['Unknown'],,,,,,Game of Thrones,5,""" Unbowed, Unbent, Unbroken """,,,,Michael Yare,,,,,,,,,,0,slaver
Janos Slynt,In King's Landing,302 AC at Castle Black Beheaded by Jon Snow for insubordination,Slynt,"['City Watch', ""Night's Watch""]",Commander of the City Watch (formerly) Lord of Harrenhal (formerly),Andal,,,,Game of Thrones,1 · 2 · 4 · 5,15 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" High Sparrow ""","""High Sparrow""",Dominic Carter,,Faith of the Seven,,,,,,,,1,janos slynt
Jon Snow,"Aegon Targaryen 281 AC (age 24) Tower of Joy , Dorne","302 AC Castle Black , the Gift (later resurrected)",Targaryen,"['Stark', ""Night's Watch""]",998th Lord Commander of the Night's Watch (formerly) King in the North (formerly) Warden of the North (formerly),Northern,{ Rhaegar Targaryen } (biological) { Eddard Stark } (adoptive),{ Lyanna Stark },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,63 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,""" Mother's Mercy """,Kit Harington,,Old Gods,,Lord Snow King Crow The White Wolf The Bastard of Winterfell,,,,{ Ygritte } { Daenerys I Targaryen },,1,jon snow
Spice King,In Qarth,299 AC in Qarth Throat slit by a duplicate of Pyat Pree,,['Thirteen'],,Qartheen,,,,Game of Thrones,2,3 episodes ( see below ),""" Garden of Bones """,""" A Man Without Honor ""","""A Man Without Honor""",Nicholas Blane,,,,,,,,,,1,spice king
Stableboy,,"298 AC King's Landing , the Crownlands",,['Baratheon'],,,,,,Game of Thrones,1,""" The Pointy End """,,,,Hugo Culverhouse,,,,,,,,,,1,stable boy
Stark guard (A Man Without Honor),In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" A Man Without Honor """,""" The Prince of Winterfell """,,David Sheehan,,Old Gods,,,,,,,,0,stark guard
Stark guard (Fire and Blood),In the North,,,['Stark'],,Northern,,,,Game of Thrones,1,""" Fire and Blood """,,,,Faolan Morgan,,Old Gods,,,,,,,,0,stark guard
Stark guard (The Old Gods and the New),In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Colin McMurray,,Old Gods,,,,,,,,0,stark guard
Stark guard (The Pointy End),In the North,,,['Stark'],,Northern,,,,Game of Thrones,1,""" The Pointy End """,,,,Rick Burn,,Old Gods,,,,,,,,0,stark guard
Stark soldier (The Queen%27s Justice),In the North,,,['Stark'],,Northern,,,,Game of Thrones,7,""" The Queen's Justice """,,,,Luke Wilson Hanley,,Old Gods,,,,,,,,0,soldier
Stark soldier (Valar Morghulis),In the North,299 AC near the Red Fork Throat cut by Brienne of Tarth,,['Stark'],,Northern,,,,Game of Thrones,2,""" Valar Morghulis """,,,"""Valar Morghulis""",Michael Shaeffer,,Old Gods,,,,,,,,1,soldier
Arya Stark,"287 AC (age 18) Winterfell , the North",,Stark,['Faceless Men'],,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,59 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Maisie Williams Additional actors when Arya is disguised: Hattie Gotobed ( Ghita ) Sabrina Bartlett (serving girl) David Bradley ( Walder Frey ),,Old Gods Faith of the Seven Many-Faced God,,Arry Lanna Mercy,,,,Gendry Baratheon (briefly),,0,arya stark
Benjen Stark,"Winterfell , the North","304 AC Beyond the Wall , Westeros",Stark,"[""Night's Watch"", 'Three-Eyed Raven']",First Ranger (formerly),Northern,{ Rickard Stark },,{ Brandon Stark } { Eddard Stark } { Lyanna Stark },Game of Thrones,1 · 6 · 7,8 episodes ( see below ),""" Winter Is Coming """,""" Beyond the Wall ""","""Beyond the Wall""",Joseph Mawle Matteo Elezi (child),,Old Gods,,,,,,,,1,benjen stark
Bran Stark,"Brandon Stark 288 AC (age 17) Winterfell , the North",,Stark,['Children of the Forest'],Three-Eyed Raven King of the Andals and the First Men Lord of the Six Kingdoms Protector of the Realm,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 4 · 6 · 7 · 8,40 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Isaac Hempstead-Wright,,Old Gods,,,A three-eyed raven spreading its wings,,,,,0,bran stark
Catelyn Stark,"Catelyn Tully Riverrun , the Riverlands","300 AC The Twins , the Riverlands",Tully Stark (by marriage),['Unknown'],,Rivermen,{ Hoster Tully },{ Minisa Whent },,Game of Thrones,1 · 2 · 3 · 6,26 episodes ( see below ),""" Winter Is Coming """,""" Blood of My Blood "" (vision(s))",""" The Rains of Castamere """,Michelle Fairley Jennifer Ehle ( pilot ),{ Eddard Stark },Faith of the Seven,{ Robb Stark } Sansa Stark Arya Stark Bran I the Broken { Rickon Stark },Cat,,,,,,1,catelyn stark
Eddard Stark,"Winterfell , the North","298 AC Great Sept of Baelor , King's Landing",Stark,"['Arryn', 'Baratheon', 'Small Council']",Lord of Winterfell Warden of the North Hand of the King Lord Regent Protector of the Realm,Northern,{ Rickard Stark },,,Game of Thrones,1 · 2 · 3 · 4 · 6 · 7,19 episodes ( see below ),""" Winter Is Coming """,""" The Dragon and the Wolf "" (vision(s))",""" Baelor """,Sean Bean Robert Aramayo (adolescent) Sebastian Croft (child),{ Catelyn Tully },Old Gods,{ Robb Stark } Jon Snow (nephew raised as bastard son) Sansa Stark Arya Stark Bran I the Broken { Rickon Stark },Ned,,,,,,1,eddard stark
Lyanna Stark,At Winterfell,281 AC in the Tower of Joy Bled to death following a caesarean section to give birth to Jon Snow,Stark Targaryen (by marriage),['Unknown'],,Northern,{ Rickard Stark },,{ Brandon Stark } { Eddard Stark } { Benjen Stark },Game of Thrones,6 · 7,5 episodes ( see below ),""" Home "" (vision(s))",""" The Dragon and the Wolf "" (vision(s))",""" The Winds of Winter "" (vision(s))",Aisling Franciosi Cordelia Hill (child),{ Rhaegar Targaryen },Old Gods,Jon Snow,,,,,,,1,lyanna
Rickard Stark,At Winterfell,281 AC in King's Landing Burned alive with wildfire by Aerys II Targaryen,Stark,['Targaryen'],Lord of Winterfell Warden of the North,Northern,,,,Game of Thrones,6,""" The Door "" (vision(s))",,,,Wayne Foskett,,Old Gods,{ Brandon Stark } { Eddard Stark } { Lyanna Stark } { Benjen Stark },,,,,,,1,rickard
Rickon Stark,"292 AC Winterfell , the North","303 AC (aged 11) Near Winterfell, the North",Stark,['Unknown'],Prince,Northern,{ Eddard Stark },{ Catelyn Tully },{ Robb Stark } Jon Snow (paternal cousin raised as bastard half-brother) Sansa Stark Arya Stark Bran I the Broken,Game of Thrones,1 · 2 · 3 · 6,14 episodes ( see below ),""" Winter Is Coming """,""" Battle of the Bastards ""","""Battle of the Bastards""",Art Parkinson,,Old Gods,,,,,,,,1,rickon stark
Robb Stark,"281 AC Riverrun , the Riverlands","300 AC (aged 19) The Twins , the Riverlands",Stark,['Unknown'],Lord of Winterfell King in the North,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 6,23 episodes ( see below ),""" Winter Is Coming """,""" Blood of My Blood "" (vision(s))",""" The Rains of Castamere """,Richard Madden,{ Talisa Maegyr },Faith of the Seven,,The Wolf Pup The Young Wolf The King Who Lost the North,,,,,,1,robb stark
Sansa Stark,"285 AC (age 20) Winterfell , the North",,Stark Lannister (by marriage) Bolton (by marriage),['Targaryen'],Lady of Winterfell Wardeness of the North (briefly) Queen in the North,Northern,{ Eddard Stark },{ Catelyn Tully },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,59 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Sophie Turner,"Tyrion Lannister (1st husband, unconsummated) { Ramsay Bolton } (2nd husband)",Faith of the Seven,,Little dove Little bird Sansa Lannister Alayne Lady Bolton,"Black, a white direwolf's head contourny within weirwood branches proper",,,,,0,sansa stark
Talisa Stark,"Talisa Maegyr Volantis , the Free Cities","300 AC The Twins , the Riverlands",Maegyr Stark (by marriage),['Old Blood'],Queen,Volantene,,,Brother,Game of Thrones,2 · 3,11 episodes ( see below ),""" Garden of Bones """,""" The Rains of Castamere ""","""The Rains of Castamere""",Oona Chaplin,{ Robb Stark },,,,,,,,,1,talisa
Steelshanks,In the North,,,['Bolton'],,Northern,,,,Game of Thrones,3,4 episodes ( see below ),""" And Now His Watch Is Ended """,""" The Bear and the Maiden Fair """,,Jamie Michie,,Old Gods,,,,,,,,0,steelshanks walton
Lollys Stokeworth,At Castle Stokeworth,,Stokeworth,['Unknown'],,Crownlander,{ Father },Tanda Stokeworth,Falyse Stokeworth,Game of Thrones,5,""" The House of Black and White """,,,,Elizabeth Cadwallader,,Faith of the Seven,,,,,,,,0,lollys stokeworth
Harry Strickland,In the Free Cities,305 AC in King's Landing Speared in the back by Grey Worm during the Battle of King's Landing,Strickland,"['Golden Company', 'Lannister']",Captain,Andal,,,,Game of Thrones,8,2 episodes ( see below ),""" Winterfell """,""" The Bells ""","""The Bells""",Marc Rissmann,,,,,,,,,,1,harry
Styr,In Thenn,301 AC at Castle Black,,['Mance Rayder'],Magnar,Thenn,,,,Game of Thrones,4,4 episodes ( see below ),""" Two Swords """,""" The Watchers on the Wall ""","""The Watchers on the Wall""",Yuri Kolokolnikov,,Old Gods,,,,,,,,1,styr
Karl Tanner,"Gin Alley , the Crownlands","301 AC Craster's Keep , beyond the Wall",,"[""Night's Watch"", 'Mutineers']",,Andal,,,,Game of Thrones,3 · 4,4 episodes ( see below ),""" Walk of Punishment """,""" First of His Name ""","""First of His Name""",Burn Gorman,,,,,,,,,,1,karl tanner
Tansy,,"301 AC Near the Dreadfort , the North",,['Bolton'],,Northern,,,,Game of Thrones,4,""" The Lion and the Rose """,,,"""The Lion and the Rose""",Jazzy de Lisser,,,,,,,,{ Ramsay Snow },,1,tansy
Daenerys Targaryen,"281 AC Dragonstone , the Crownlands","305 AC (aged 24) Throne room , King's Landing",Targaryen,['Unknown'],Princess of Dragonstone (formerly) Queen of Meereen (formerly) Mother of Dragons Khaleesi of the Great Grass Sea The Unburnt Breaker of Chains Queen of the Andals and the First Men Protector of the Seven Kingdoms,Valyrian,{ Aerys II Targaryen },{ Rhaella Targaryen },{ Rhaegar Targaryen } { Viserys Targaryen },Game of Thrones House of the Dragon,Game of Thrones : 1 · 2 · 3 · 4 · 5 · 6 · 7 · 8 House of the Dragon : 2,63 episodes ( see below ),""" Winter Is Coming """,""" The Queen Who Ever Was "" (vision(s))",""" The Iron Throne """,Emilia Clarke Imogen Ruby Little ( House of the Dragon ) Tamzin Merchant ( pilot ),{ Drogo },,{ Rhaego } (stillborn),Daenerys Stormborn Dany Mhysa The Queen Across the Sea The Silver Queen The Dragon Queen,,,,Daario Naharis (formerly) Jon Snow,,1,daenerys targaryen
Rhaegar Targaryen,"258 AC Summerhall , the Stormlands","281 AC (aged 23) Ruby Ford , the Riverlands",Targaryen,['Unknown'],Prince of Dragonstone Ser,Valyrian,{ Aerys II Targaryen },{ Rhaella Targaryen },{ Viserys Targaryen } { Daenerys Targaryen },Game of Thrones,7,""" The Dragon and the Wolf "" (vision(s))",,,,Wilf Scolding,{ Elia Martell } (annulled) { Lyanna Stark },,With Elia: { Rhaenys Targaryen } { Aegon Targaryen } With Lyanna: Jon Snow,The last dragon,,,,,,1,rhaegar
